,match,time,slot,text,target
2,2,2263.9049,4,COMMEND ME TY,0
7,6,242.5408,8,sorry nex,0
11,6,2279.1628,2,what is the best soup?,0
18,9,1011.11982,4,man that silence on axe,0
21,9,1769.30452,3,not coming into play,0
28,9,2052.87052,7,my storm also cry,0
30,9,2077.48772,3,20mins scythe on od,0
33,13,1845.77824,0,ty pudge,0
41,22,-10.86402,6,only me ,0
44,24,1041.8123,2,for farming a lot,0
52,31,3228.39086,3,this game,0
59,31,3744.58256,6,happy new year,0
64,32,1686.52147,9,passive heross here,0
71,38,365.1442,6,ty],0
75,40,1528.82673,2,SLOW HAND TINKER,0
76,40,2327.08613,5,WTf?,0
82,40,3569.85273,3,counter more,0
89,43,456.05534,3,how many more x3 mins do we have to wait,0
95,43,722.1903,6,that was more lucky than ur kill 😂:D,0
98,45,775.64397,8,report sf and lycan,0
101,45,1219.20227,8,dont forget report lycan and sf,0
108,51,682.66664,1,000000000-5   NICE FEDD,0
111,51,953.10064,1,NICE FEDDDD,0
114,51,1052.87624,1,fED FED ,0
126,65,255.87088,7,really?,0
130,65,1520.86195,7,that bug,0
132,66,999.68928,6,ff pls ,0
136,69,2304.6478,4,i will commend u sniper if u commend me too,0
137,69,2388.1321,8,has gem walked intio bomb ,0
149,73,-91.29272,2,report wk,0
152,76,137.36648,4,apparently,0
154,76,1406.32323,5,and then,0
155,76,1412.65503,1,my team,0
178,82,2162.07686,5,and I am a support,0
183,83,139.23266,6,??? lol now pause,0
201,83,328.91972,6,why all russian are so dirty player,0
214,91,663.47132,3,reported Viper please,0
225,102,-59.7854,7,that's why they have a turbo now,0
234,102,2047.88663,7,team reported and afk ,0
238,103,163.82666,4,o,0
244,107,1601.77557,7,its fat,0
248,109,3189.89878,7,Commend Troll,0
260,112,1546.8223,1,which killed me,0
262,113,2249.43655,9,check this,0
266,115,403.9014,6,these bashes,0
274,115,1884.3826,6,from the offlane,0
278,118,1629.8353,1,i missed the hill,0
279,118,1854.125,3,rof,0
281,120,-64.21766,3,CHERT,0
283,121,-52.25391,4,idk what teals talking abou,0
288,121,321.45485,7,or feed?,0
290,121,555.66435,9,u know that?,0
291,121,559.53005,7,how to change aggro :D,0
293,121,695.89675,4,what a world we live in,0
294,121,696.23001,1,nice one,0
318,121,2361.03605,9,cant win game,0
320,121,2371.40465,9,now u pick counter vs me,0
338,124,2492.32807,4,mind topo?,0
343,129,1568.87163,8,but my teammates wont to kill u((9(,0
349,131,2312.7912,0,report alche plz,0
352,133,1431.88367,5,withh 600 avg gpm,0
357,134,853.82484,9,music to my ears,0
358,134,3696.68474,9,never chat all at early kids,0
364,145,1792.26563,1,you guys were winning early game,0
376,148,1125.72508,9,techies matanme ,0
387,150,1300.91568,4,techies go kill yourself,0
389,150,1857.89498,0,techies makes the game boring,0
395,153,1068.23913,1,Nah just other route,0
404,155,243.70718,9,oh right,0
408,160,772.64464,4,switch off my cheats,0
410,160,1612.63954,9,0reaction team 0 def team 0 info team pls ff enmys,0
416,163,-58.61902,2,shadow fiend,0
422,165,286.90442,2,what,0
429,165,588.39749,2,"i'm really not, sry man",0
432,165,1203.64724,7,IM PASSIVBE EHHE,0
453,172,1072.3048,4,please,0
463,177,1429.151,5,COMEND PLZ,0
465,177,1905.5553,5,AND JUNGLE,0
468,178,862.35607,3,hhe,0
470,178,1775.84437,1,first pick,0
475,180,398.30278,1,its best for you to leave,0
484,183,415.93178,0,They cant understand you,0
515,184,2818.67137,2,please,0
516,185,-3.99902,2,strictly bussiness,0
520,186,1765.94959,3,COMEND MID ,0
522,188,1586.17932,1,try hard ^^,0
523,188,1590.41162,1,so try hard,0
530,191,2139.20977,5,its a prank,0
533,194,1516.8296,0,TA EBAL TVOU ROT,0
548,207,1975.76306,5,Ragnaros is life,0
549,207,2000.68136,6,>Game is Hard,0
550,208,132.16773,9,why even try?,0
554,215,657.37283,1,basher void ,0
559,215,756.74856,4,every game he picks omni 5 pos,0
570,216,1972.24403,9,rofl,0
571,216,1976.05703,9,they blame me,0
572,216,1979.73623,5,Read he name,0
578,216,2004.88863,9,he braindead?,0
579,216,2009.37043,9,rip english,0
584,227,1435.1162,1,worth?,0
588,227,1487.7367,4,worth?,0
589,227,1495.8681,4,losing to herald bro,0
590,227,1496.3346,0,then what r u jug,0
599,227,1930.0913,0,what happened to your mid?,0
600,227,1933.3691,0,why make am so fat,0
604,227,2059.4319,0,i rich what,0
607,227,2210.8811,0,radian victory,0
615,234,734.62065,7,Currently In-GameDota 2Join Game,0
617,235,1355.54596,5,solo carry team,0
644,235,1863.66776,5,unbelievable how people can be so bad to lose thsi game,0
646,235,1953.57406,5,nice fair matchmaking,0
651,235,1977.15436,5,Even treads on agi,0
656,245,1781.92938,4,clock,0
660,247,15.3629,2,one curse and you boys run?,0
668,257,911.27748,7,end please,0
681,263,3317.52066,6,this is undying,0
683,267,323.521,0,how often,0
697,273,1787.44263,5,ez predicted pango,0
699,274,-28.42638,5,REPORT URSA,0
708,280,1548.75512,9,feeed me more,0
726,290,1089.7006,8,these*,0
731,290,1142.821,7,and storm spends more time typing than anything else,0
732,290,1192.0756,8,ill sit in base,0
744,290,1331.5749,3,did anything except feed lol,0
749,290,1403.8239,3,sounds good,0
752,290,1423.9523,9,who kept whining,0
759,295,1278.72107,6,yes we know that,0
767,297,453.62256,4,Just pretend the man doesn't exist...,0
768,297,542.53421,8,cool,0
780,300,1762.5696,2,People,0
781,300,1762.7029,0,"ck you need to study, half your senteces make no sense",0
787,305,1335.9071,6,that was a 3v1 too?,0
788,305,1358.235,1,thats what your mum said,0
790,307,531.73685,7,we are late game,0
792,309,832.66342,8,why you play whis shit heroes,0
793,309,950.23462,8,reported pa ,0
804,314,-50.22522,3,ill out retard your feed dont worry,0
806,314,2601.33626,9,report alch for not having 0.25 seconds per atk,0
809,315,1506.73212,2,he's good,0
810,315,1525.32752,7,Cancer sup,0
811,316,-160.719,3,SHOULD I STAY OR SHOULD I GO NOW,0
816,317,3616.1157,1,Nice rosh ,0
819,318,865.9219,6,party???,0
825,322,1752.7074,6,RREI RREI VEI PEI JONGE',0
836,329,1046.74444,0,i dont know,0
846,332,702.09526,9,report him,0
849,332,1359.40136,6,ply sup,0
850,332,1372.73146,6,we really,0
852,332,1387.12796,6,team respect him,0
858,334,2348.86897,6,pheonix ,0
862,334,2533.12987,6,omg the pheonix plays :D,0
864,335,1833.54383,9,im going to hook,0
870,338,2486.6689,1,antimage and axe,0
874,339,363.11138,5,1v3 fore what,0
875,339,1062.34058,1,go next ty,0
880,345,873.2201,9,please,0
882,348,-217.68497,5,how are these ranks equal?,0
885,348,1094.0329,4,felt bad right?,0
894,359,0.86685,4,U CARE?!?!?,0
898,359,1110.05443,4,THANK YOU FOR IMPROVING THE DOTA 2 COMMUNITY,0
901,360,420.8096,8,that feel so good,0
903,360,1634.71316,9,my team doesnt deserve to get out of lp,0
907,360,2511.19286,5,or whatever,0
925,368,811.4352,6,stop it,0
935,368,2213.2687,1,anyway tinker counter your teamate but u counter me,0
937,368,2699.4247,7,RATAS TODOS,0
939,369,1488.64997,5,i will show this game to all my support,0
940,369,1493.58207,5,how to win,0
944,370,1512.364,5,Thanks,0
945,370,1512.364,2,can win,0
949,371,2100.27068,7,report pudge,0
964,378,1481.17166,5,lol I was talking to my brother,0
970,380,2913.2937,4,Report pudge,0
1018,406,1805.28535,7,dont touch my support,0
1026,409,845.49353,9,very nice safelane,0
1027,409,1389.62733,9,nice first kill,0
1028,409,2283.65003,9,Comeback is real,0
1031,410,1478.1057,9,random on ranekd match,0
1044,414,-160.7439,4,you look right cause I was left,0
